market,status,side,size,maxSize,entryPrice,exitPrice,createdAt,createdAtHeight,closedAt,sumOpen,sumClose,netFunding,subaccountNumber
ATOM-USD,OPEN,LONG,497,497,4.8932233400402414487,,2024-08-24T21:11:07.203Z,23603237,,497,0,0.57111,0
DOT-USD,OPEN,LONG,2159,2159,4.97122139879573876797,,2024-07-22T01:28:19.683Z,20898387,,2159,0,32.295248,0
DOT-USD,OPEN,LONG,2159,2159,4.97122139879573876797,,2024-07-22T01:28:19.683Z,20898387,,2159,0,32.306043,0
AVAX-USD,OPEN,LONG,108.3,108.3,24.64838411819021237305,,2024-08-25T23:53:35.013Z,23691727,,108.3,0,0.096042,0,
BCH-USD,OPEN,LONG,8.45,8.45,337.92710059171597633136,,2024-08-24T18:10:10.421Z,23593355,,8.45,0,1.83495,0,
DOT-USD,OPEN,LONG,2159,2159,4.97122139879573876797,,2024-07-22T01:28:19.683Z,20898387,,2159,0,32.329792,0
BCH-USD,OPEN,LONG,8.45,8.45,337.92710059171597633136,,2024-08-24T18:10:10.421Z,23593355,,8.45,0,1.835795,0,
DOT-USD,OPEN,LONG,2159,2159,4.97122139879573876797,,2024-07-22T01:28:19.683Z,20898387,,2159,0,32.336269,0
AVAX-USD,OPEN,LONG,108.3,108.3,24.64838411819021237305,,2024-08-25T23:53:35.013Z,23691727,,108.3,0,0.100374,0,
BCH-USD,OPEN,LONG,8.45,8.45,337.92710059171597633136,,2024-08-24T18:10:10.421Z,23593355,,8.45,0,1.842555,0,
DOT-USD,OPEN,LONG,2159,2159,4.97122139879573876797,,2024-07-22T01:28:19.683Z,20898387,,2159,0,32.349223,0
AVAX-USD,OPEN,LONG,108.3,108.3,24.64838411819021237305,,2024-08-25T23:53:35.013Z,23691727,,108.3,0,0.104706,0,
ATOM-USD,OPEN,LONG,497,497,4.8932233400402414487,,2024-08-24T21:11:07.203Z,23603237,,497,0,0.573098,0,
BCH-USD,OPEN,LONG,8.45,8.45,337.92710059171597633136,,2024-08-24T18:10:10.421Z,23593355,,8.45,0,1.861145,0,
DOT-USD,OPEN,LONG,2159,2159,4.97122139879573876797,,2024-07-22T01:28:19.683Z,20898387,,2159,0,32.407516,0,
DYDX-USD,OPEN,LONG,7529,7529,1.18055917120467525569,,2024-06-07T06:57:45.111Z,17606805,,7529,0,-15.114102,0
NEAR-USD,OPEN,LONG,423,423,4.39543262411347517729,,2024-08-27T21:02:30.643Z,23844081,,423,0,0.076673,0,
AVAX-USD,OPEN,LONG,108.3,108.3,24.64838411819021237305,,2024-08-25T23:53:35.013Z,23691727,,108.3,0,0.123117,0,
ATOM-USD,OPEN,LONG,497,497,4.8932233400402414487,,2024-08-24T21:11:07.203Z,23603237,,497,0,0.577074,0,
BCH-USD,OPEN,LONG,8.45,8.45,337.92710059171597633136,,2024-08-24T18:10:10.421Z,23593355,,8.45,0,1.87889,0,
DOT-USD,OPEN,LONG,2159,2159,4.97122139879573876797,,2024-07-22T01:28:19.683Z,20898387,,2159,0,32.444219,0,
DYDX-USD,OPEN,LONG,7529,7529,1.18055917120467525569,,2024-06-07T06:57:45.111Z,17606805,,7529,0,-15.121631,0
AVAX-USD,OPEN,LONG,108.3,108.3,24.64838411819021237305,,2024-08-25T23:53:35.013Z,23691727,,108.3,0,0.13503,0,
BCH-USD,OPEN,LONG,8.45,8.45,337.92710059171597633136,,2024-08-24T18:10:10.421Z,23593355,,8.45,0,1.891565,0,
DOT-USD,OPEN,LONG,2159,2159,4.97122139879573876797,,2024-07-22T01:28:19.683Z,20898387,,2159,0,32.446378,0
AVAX-USD,OPEN,LONG,108.3,108.3,24.64838411819021237305,,2024-08-25T23:53:35.013Z,23691727,,108.3,0,0.143694,0,
